date,region,universe_size,pass_count,pass_percentage
2025-07-18,europe,400,90,22.5
2025-07-21,europe,400,90,22.5
2025-07-22,europe,399,87,21.8
2025-07-22,us,2383,414,17.37
2025-07-23,europe,401,91,22.69
2025-07-23,us,2386,439,18.4
2025-07-24,europe,401,92,22.94
2025-07-24,us,2382,420,17.63
2025-07-25,europe,401,94,23.44
2025-07-25,us,2377,421,17.71
2025-07-28,europe,400,89,22.25
2025-07-28,us,2377,408,17.16
2025-07-29,europe,401,94,23.44
2025-07-29,us,2366,385,16.27
2025-07-30,europe,401,96,23.94
2025-07-30,us,2364,376,15.91
2025-07-31,europe,399,95,23.81
2025-07-31,us,2369,378,15.96
2025-08-01,europe,399,82,20.55
2025-08-01,us,2369,348,14.69
2025-08-04,europe,400,95,23.75
2025-08-04,us,2377,399,16.79
2025-08-05,europe,400,96,24.0
2025-08-05,us,2381,387,16.25
2025-08-06,europe,400,96,24.0
2025-08-06,us,2382,385,16.16
2025-08-07,europe,400,94,23.5
2025-08-07,us,2382,368,15.45
2025-08-08,europe,400,96,24.0
2025-08-08,us,2380,377,15.84
2025-08-11,europe,399,90,22.56
2025-08-11,us,2380,373,15.67
2025-08-12,europe,400,94,23.5
2025-08-12,us,2389,390,16.32
2025-08-13,europe,401,95,23.69
2025-08-13,us,2399,403,16.8
2025-08-14,europe,400,99,24.75
2025-08-14,us,2398,392,16.35
2025-08-15,europe,401,98,24.44
2025-08-15,us,2402,391,16.28
2025-08-18,europe,401,96,23.94
2025-08-18,us,2403,388,16.15
2025-08-19,europe,404,98,24.26
2025-08-19,us,2396,379,15.82
2025-08-20,europe,405,101,24.94
2025-08-20,us,2399,386,16.09
2025-08-21,europe,403,101,25.06
2025-08-21,us,2398,390,16.26
2025-08-22,europe,404,103,25.5
2025-08-22,us,2416,422,17.47
2025-08-25,europe,402,99,24.63
2025-08-25,us,2425,414,17.07
2025-08-26,europe,402,93,23.13
2025-08-26,us,2421,413,17.06
2025-08-27,europe,404,94,23.27
2025-08-27,us,2416,415,17.18
2025-08-28,europe,402,93,23.13
2025-08-28,us,2419,417,17.24
2025-08-29,europe,401,90,22.44
2025-08-29,us,2412,406,16.83
2025-09-01,europe,402,93,23.13
2025-09-01,us,2412,407,16.87
2025-09-02,europe,398,67,16.83
2025-09-02,us,2407,385,16.0
2025-09-03,europe,399,68,17.04
2025-09-03,us,2399,394,16.42
2025-09-04,europe,400,73,18.25
2025-09-04,us,2405,399,16.59
2025-09-05,europe,399,72,18.05
2025-09-05,us,2405,399,16.59
2025-09-08,europe,400,77,19.25
2025-09-08,us,2404,408,16.97
2025-09-09,europe,400,78,19.5
2025-09-09,us,2397,403,16.81
2025-09-10,europe,399,82,20.55
2025-09-10,us,2395,414,17.29
2025-09-11,europe,399,87,21.8
2025-09-11,us,2407,429,17.82
2025-09-12,europe,399,87,21.8
2025-09-12,us,2406,424,17.62
2025-09-15,europe,399,90,22.56
2025-09-15,us,2411,433,17.96
2025-09-16,europe,399,77,19.3
2025-09-16,us,2414,422,17.48
2025-09-17,europe,399,73,18.3
2025-09-17,us,2420,426,17.6
2025-09-18,europe,399,73,18.3
2025-09-18,us,2431,449,18.47
2025-09-19,europe,399,77,19.3
2025-09-19,us,2443,461,18.87
2025-09-22,europe,399,75,18.8
2025-09-22,us,2446,461,18.85
2025-09-23,europe,400,73,18.25
2025-09-23,us,2448,470,19.2
2025-09-24,europe,400,71,17.75
2025-09-24,us,2459,455,18.5
2025-09-25,europe,400,68,17.0
2025-09-25,us,2450,439,17.92
2025-09-26,europe,399,77,19.3
2025-09-26,us,2452,464,18.92
2025-09-29,europe,398,77,19.35
2025-09-29,us,2446,451,18.44
2025-09-30,europe,397,82,20.65
2025-09-30,us,2447,457,18.68
2025-10-01,europe,400,85,21.25
2025-10-01,us,2456,439,17.87
2025-10-02,europe,398,84,21.11
2025-10-02,us,2451,445,18.16
2025-10-03,europe,398,85,21.36
2025-10-03,us,2456,430,17.51
2025-10-06,europe,399,82,20.55
2025-10-06,us,2470,433,17.53
2025-10-07,europe,399,81,20.3
2025-10-07,us,2471,424,17.16
2025-10-08,europe,399,84,21.05
2025-10-08,us,2475,436,17.62
2025-10-09,europe,399,84,21.05
2025-10-09,us,2469,422,17.09
2025-10-10,europe,397,81,20.4
2025-10-10,us,2460,371,15.08
2025-10-13,europe,397,78,19.65
2025-10-13,us,2473,408,16.5
2025-10-14,europe,398,78,19.6
2025-10-14,us,2479,430,17.35
2025-10-15,europe,398,77,19.35
2025-10-15,us,2479,439,17.71
2025-10-16,europe,399,77,19.3
2025-10-16,us,2470,419,16.96
2025-10-17,europe,400,61,15.25
2025-10-17,us,2463,403,16.36
2025-10-20,europe,402,69,17.16
2025-10-20,us,2470,452,18.3
2025-10-21,europe,402,74,18.41
2025-10-21,us,2473,436,17.63
2025-10-22,europe,402,74,18.41
2025-10-22,us,2462,412,16.73
2025-10-23,europe,405,77,19.01
2025-10-23,us,2465,452,18.34
2025-10-24,europe,406,89,21.92
2025-10-24,us,2471,486,19.67
2025-10-27,europe,406,92,22.66
2025-10-27,us,2473,483,19.53
2025-10-28,europe,406,94,23.15
2025-10-28,us,2471,479,19.38
2025-10-29,europe,404,95,23.51
2025-10-29,us,2467,469,19.01
2025-10-30,europe,405,95,23.46
2025-10-30,us,2472,458,18.53
2025-10-31,europe,404,98,24.26
2025-10-31,us,2478,470,18.97
2025-11-03,europe,404,100,24.75
2025-11-03,us,2470,464,18.79
2025-11-04,europe,403,94,23.33
2025-11-04,us,2457,412,16.77
2025-11-05,europe,404,98,24.26
2025-11-05,us,2461,445,18.08
2025-11-06,europe,404,91,22.52
2025-11-06,us,2456,427,17.39
2025-11-07,europe,404,90,22.28
2025-11-07,us,2457,430,17.5
2025-11-10,europe,404,96,23.76
2025-11-10,us,2460,468,19.02
2025-11-11,europe,404,98,24.26
2025-11-11,us,2463,459,18.64
2025-11-12,europe,405,103,25.43
2025-11-12,us,2464,468,18.99
2025-11-13,europe,405,99,24.44
2025-11-13,us,2456,408,16.61
2025-11-14,europe,404,97,24.01
2025-11-14,us,2448,394,16.09
2025-11-17,europe,405,97,23.95
2025-11-17,us,2444,369,15.1
2025-11-18,europe,404,72,17.82
2025-11-18,us,2446,363,14.84
2025-11-19,europe,404,72,17.82
2025-11-19,us,2451,372,15.18
2025-11-20,europe,404,76,18.81
2025-11-20,us,2445,323,13.21
2025-11-21,europe,405,73,18.02
2025-11-21,us,2447,361,14.75
2025-11-24,europe,405,80,19.75
2025-11-24,us,2451,420,17.14
2025-11-25,europe,405,83,20.49
2025-11-25,us,2460,453,18.41
2025-11-26,europe,406,89,21.92
2025-11-26,us,2465,480,19.47
2025-11-27,europe,405,94,23.21
2025-11-27,us,2465,480,19.47
2025-11-28,europe,405,97,23.95
2025-11-28,us,2461,497,20.2
2025-12-01,europe,405,93,22.96
2025-12-01,us,2453,466,19.0
2025-12-02,europe,405,95,23.46
2025-12-02,us,2454,466,18.99
2025-12-03,europe,405,91,22.47
2025-12-03,us,2461,499,20.28
2025-12-04,europe,405,93,22.96
2025-12-04,us,2474,517,20.9
2025-12-05,europe,406,95,23.4
2025-12-05,us,2475,510,20.61
2025-12-08,europe,405,94,23.21
2025-12-08,us,2480,516,20.81
2025-12-09,europe,406,96,23.65
2025-12-09,us,2485,512,20.6
2025-12-10,europe,408,95,23.28
2025-12-10,us,2484,526,21.18
2025-12-11,europe,408,96,23.53
2025-12-11,us,2480,549,22.14
2025-12-12,europe,408,93,22.79
2025-12-12,us,2474,512,20.7
2025-12-15,europe,409,96,23.47
2025-12-15,us,2469,510,20.66
2025-12-16,europe,408,97,23.77
2025-12-16,us,2472,506,20.47
2025-12-17,europe,407,94,23.1
2025-12-17,us,2465,482,19.55
2025-12-18,europe,407,98,24.08
2025-12-18,us,2470,508,20.57
2025-12-19,europe,408,104,25.49
2025-12-19,us,2476,531,21.45
2025-12-22,europe,409,106,25.92
2025-12-22,us,2483,551,22.19
2025-12-23,europe,409,107,26.16
2025-12-23,us,2484,554,22.3
2025-12-24,europe,407,106,26.04
2025-12-24,us,2479,557,22.47
2025-12-26,us,2477,544,21.96
2025-12-29,europe,408,109,26.72
2025-12-29,us,2473,539,21.8
2025-12-30,europe,408,110,26.96
2025-12-30,us,2480,519,20.93
2025-12-31,europe,408,108,26.47
2025-12-31,us,2477,507,20.47
2026-01-02,europe,408,111,27.21
2026-01-02,us,2475,530,21.41
2026-01-05,europe,408,112,27.45
2026-01-05,us,2481,542,21.85
2026-01-06,europe,410,117,28.54
2026-01-06,us,2488,556,22.35
2026-01-07,europe,408,115,28.19
2026-01-07,us,2493,562,22.54
2026-01-08,europe,407,115,28.26
2026-01-08,us,2496,553,22.16
2026-01-09,europe,407,116,28.5
2026-01-09,us,2490,556,22.33
2026-01-12,europe,407,116,28.5
2026-01-12,us,2493,567,22.74
2026-01-13,europe,408,118,28.92
2026-01-13,us,2495,572,22.93
2026-01-14,europe,408,116,28.43
2026-01-14,us,2496,570,22.84
2026-01-15,europe,410,115,28.05
2026-01-15,us,2499,569,22.77
2026-01-16,europe,409,113,27.63
2026-01-16,us,2508,574,22.89
2026-01-19,europe,409,111,27.14
2026-01-19,us,2508,574,22.89
2026-01-20,europe,409,107,26.16
2026-01-20,us,2511,558,22.22
2026-01-21,europe,408,106,25.98
2026-01-21,us,2514,582,23.15
2026-01-22,europe,409,110,26.89
2026-01-22,us,2523,595,23.58
2026-01-23,europe,407,108,26.54
2026-01-23,us,2525,571,22.61
2026-01-26,europe,407,113,27.76
2026-01-26,us,2518,570,22.64
2026-01-27,europe,407,115,28.26
2026-01-27,us,2518,574,22.8
2026-01-28,europe,407,113,27.76
2026-01-28,us,2507,567,22.62
2026-01-29,europe,407,110,27.03
2026-01-29,us,2506,566,22.59
2026-01-30,europe,407,115,28.26
2026-01-30,us,2499,532,21.29
2026-02-02,europe,409,117,28.61
2026-02-02,us,2507,569,22.7
2026-02-03,europe,409,114,27.87
2026-02-03,us,2507,576,22.98
2026-02-04,europe,409,113,27.63
2026-02-04,us,2506,550,21.95
2026-02-05,europe,408,108,26.47
2026-02-05,us,2491,503,20.19
2026-02-06,europe,409,108,26.41
2026-02-06,us,2505,569,22.71
2026-02-09,europe,409,107,26.16
2026-02-09,us,2510,582,23.19
2026-02-10,europe,410,108,26.34
2026-02-10,us,2510,571,22.75
2026-02-11,europe,410,105,25.61
2026-02-11,us,2516,568,22.58
2026-02-12,europe,410,98,23.9
2026-02-12,us,2504,539,21.53
2026-02-13,europe,411,97,23.6
2026-02-13,us,2508,547,21.81
2026-02-16,europe,410,101,24.63
2026-02-16,us,2508,548,21.85
2026-02-17,europe,409,102,24.94
2026-02-17,us,2509,559,22.28
2026-02-18,europe,411,110,26.76
2026-02-18,us,2512,565,22.49
2026-02-19,europe,412,106,25.73
2026-02-19,us,2513,558,22.2
2026-02-20,europe,411,106,25.79
2026-02-20,us,2512,556,22.13
2026-02-23,europe,410,106,25.85
2026-02-23,us,2507,548,21.86
2026-02-24,europe,411,103,25.06
2026-02-24,us,2511,552,21.98
2026-02-25,europe,410,107,26.1
2026-02-25,us,2511,562,22.38
2026-02-26,europe,411,109,26.52
2026-02-26,us,2516,567,22.54
2026-02-27,europe,410,105,25.61
2026-02-27,us,2512,557,22.17
2026-03-02,europe,410,98,23.9
2026-03-02,us,2513,556,22.12
2026-03-03,europe,409,85,20.78
2026-03-03,us,2506,522,20.83
2026-03-04,europe,409,90,22.0
2026-03-04,us,2513,537,21.37
2026-03-05,europe,409,83,20.29
2026-03-05,us,2501,471,18.83
2026-03-06,europe,409,76,18.58
2026-03-06,us,2503,408,16.3
2026-03-09,europe,406,64,15.76
2026-03-09,us,2514,448,17.82
2026-03-10,europe,407,79,19.41
2026-03-10,us,2514,471,18.74
2026-03-11,europe,406,76,18.72
2026-03-11,us,2514,459,18.26
2026-03-12,europe,406,75,18.47
2026-03-12,us,2501,386,15.43
2026-03-13,europe,405,67,16.54
2026-03-13,us,2500,360,14.4
2026-03-16,europe,405,69,17.04
2026-03-16,us,2508,390,15.55
2026-03-17,europe,406,74,18.23
2026-03-17,us,2506,399,15.92
2026-03-18,europe,407,74,18.18
2026-03-18,us,2498,365,14.61
2026-03-19,europe,406,55,13.55
2026-03-19,us,2498,368,14.73
2026-03-20,europe,406,46,11.33
2026-03-20,us,2501,303,12.12
2026-03-23,europe,405,46,11.36
2026-03-23,us,2514,367,14.6
2026-03-24,europe,405,49,12.1
2026-03-24,us,2509,409,16.3
2026-03-25,europe,406,61,15.02
2026-03-25,us,2512,435,17.32
2026-03-26,europe,406,52,12.81
2026-03-26,us,2504,363,14.5
2026-03-27,europe,406,47,11.58
2026-03-27,us,2499,319,12.77
2026-03-30,europe,407,62,15.23
2026-03-30,us,2492,290,11.64
2026-03-31,europe,407,67,16.46
2026-03-31,us,2505,378,15.09
2026-04-01,europe,408,83,20.34
2026-04-01,us,2511,425,16.93
2026-04-02,europe,409,81,19.8
2026-04-02,us,2508,423,16.87
2026-04-06,us,2504,446,17.81
2026-04-07,europe,409,82,20.05
2026-04-07,us,2505,440,17.56
2026-04-08,europe,412,109,26.46
2026-04-08,us,2512,550,21.89
2026-04-09,europe,412,109,26.46
2026-04-09,us,2519,571,22.67
2026-04-10,europe,412,113,27.43
2026-04-10,us,2511,554,22.06
2026-04-13,europe,412,112,27.18
2026-04-13,us,2522,581,23.04
2026-04-14,europe,411,111,27.01
2026-04-14,us,2524,574,22.74
2026-04-15,europe,411,106,25.79
2026-04-15,us,2533,560,22.11
2026-04-16,europe,411,103,25.06
2026-04-16,us,2536,558,22.0
2026-04-17,europe,412,103,25.0
2026-04-17,us,2540,580,22.83
2026-04-20,europe,411,105,25.55
2026-04-20,us,2540,583,22.95
2026-04-21,europe,412,100,24.27
2026-04-21,us,2532,553,21.84
2026-04-22,europe,412,96,23.3
2026-04-22,us,2537,559,22.03
2026-04-23,europe,411,97,23.6
2026-04-23,us,2531,563,22.24
2026-04-24,europe,409,94,22.98
2026-04-24,us,2533,560,22.11
2026-04-27,europe,409,87,21.27
2026-04-27,us,2535,560,22.09
2026-04-28,europe,410,92,22.44
2026-04-28,us,2533,543,21.44
2026-04-29,europe,410,90,21.95
2026-04-29,us,2528,527,20.85
2026-04-30,europe,410,100,24.39
2026-04-30,us,2533,569,22.46
2026-05-01,europe,410,98,23.9
2026-05-01,us,2539,572,22.53
2026-05-04,europe,410,87,21.22
2026-05-04,us,2542,557,21.91
2026-05-05,europe,409,93,22.74
2026-05-05,us,2546,571,22.43
2026-05-06,europe,410,103,25.12
2026-05-06,us,2552,582,22.81
2026-05-07,europe,410,93,22.68
2026-05-07,us,2552,530,20.77
2026-05-08,europe,409,94,22.98
2026-05-08,us,2558,545,21.31
2026-05-11,europe,409,101,24.69
2026-05-11,us,2550,549,21.53
2026-05-12,europe,408,97,23.77
2026-05-12,us,2545,551,21.65
2026-05-13,europe,408,101,24.75
2026-05-13,us,2545,550,21.61
2026-05-14,europe,409,99,24.21
2026-05-14,us,2548,552,21.66
2026-05-15,europe,408,94,23.04
2026-05-15,us,2539,514,20.24
2026-05-18,europe,408,99,24.26
2026-05-18,us,2540,504,19.84
2026-05-19,europe,408,96,23.53
2026-05-19,us,2534,484,19.1
2026-05-20,europe,408,103,25.25
2026-05-20,us,2546,518,20.35
2026-05-21,europe,408,102,25.0
2026-05-21,us,2556,512,20.03
2026-05-22,europe,410,102,24.88
2026-05-22,us,2558,506,19.78
2026-05-25,europe,410,103,25.12
2026-05-25,us,2558,506,19.78
2026-05-26,europe,410,103,25.12
2026-05-26,us,2563,523,20.41
2026-05-27,europe,411,95,23.11
2026-05-27,us,2561,502,19.6
2026-05-28,europe,411,93,22.63
2026-05-28,us,2574,499,19.39
2026-05-29,europe,411,95,23.11
2026-05-29,us,2575,484,18.8
2026-06-01,europe,412,93,22.57
2026-06-01,us,2586,479,18.52
2026-06-02,europe,412,90,21.84
2026-06-02,us,2582,488,18.9
2026-06-03,europe,411,94,22.87
2026-06-03,us,2577,491,19.05
2026-06-04,europe,410,95,23.17
2026-06-04,us,2582,512,19.83
2026-06-05,europe,410,97,23.66
2026-06-05,us,2574,445,17.29
2026-06-08,europe,410,94,22.93
2026-06-08,us,2583,473,18.31
2026-06-09,europe,410,86,20.98
2026-06-09,us,2582,450,17.43
2026-06-10,europe,411,79,19.22
2026-06-10,us,2582,444,17.2
2026-06-11,europe,410,94,22.93
2026-06-11,us,2595,499,19.23
2026-06-12,europe,411,100,24.33
2026-06-12,us,2590,530,20.46
2026-06-15,europe,412,96,23.3
2026-06-15,us,2596,517,19.92
2026-06-16,europe,412,94,22.82
2026-06-16,us,2596,505,19.45
2026-06-17,europe,411,93,22.63
2026-06-17,us,2596,486,18.72
2026-06-18,europe,410,92,22.44
2026-06-18,us,2598,504,19.4
2026-06-19,europe,411,90,21.9
2026-06-19,us,2598,503,19.36
2026-06-22,europe,411,95,23.11
2026-06-22,us,2603,515,19.78
2026-06-23,europe,411,88,21.41
2026-06-23,us,2601,506,19.45
2026-06-24,europe,411,84,20.44
2026-06-24,us,2611,489,18.73
2026-06-25,europe,412,88,21.36
2026-06-25,us,2606,512,19.65
2026-06-26,europe,412,82,19.9
2026-06-26,us,2629,502,19.09
2026-06-29,europe,410,81,19.76
2026-06-29,us,2641,524,19.84
2026-06-30,europe,411,83,20.19
2026-06-30,us,2638,533,20.2
2026-07-01,europe,410,80,19.51
2026-07-01,us,2646,515,19.46
2026-07-02,europe,412,86,20.87
2026-07-02,us,2642,462,17.49
2026-07-03,europe,411,92,22.38
2026-07-03,us,2642,463,17.52
2026-07-06,europe,411,86,20.92
2026-07-06,us,2637,484,18.35
2026-07-07,europe,410,82,20.0
2026-07-07,us,2632,449,17.06
2026-07-08,europe,410,68,16.59
2026-07-08,us,2640,454,17.2
2026-07-09,europe,410,79,19.27
2026-07-09,us,2642,476,18.02
2026-07-10,europe,410,82,20.0
2026-07-10,us,2636,473,17.94
2026-07-13,europe,410,82,20.0
2026-07-13,us,2619,461,17.6
2026-07-14,europe,410,81,19.76
2026-07-14,us,2618,480,18.33
2026-07-15,us,2610,462,17.7
2026-07-16,europe,412,82,19.9
2026-07-16,us,2609,471,18.05
