date,symbol,exchange,passed,failed_criteria,close,rs_percentile
2026-08-19,AAMI,NYSE,True,,91.04,92.2
2026-08-19,ABCL,NASDAQ,True,,12.01,98.7
2026-08-19,ABNB,NASDAQ,True,,186.39,82.0
2026-08-19,ABSI,NASDAQ,True,,9.99,99.0
2026-08-19,ACHV,NASDAQ,True,,8.53,96.3
2026-08-19,ACRS,NASDAQ,True,,6.44,97.4
2026-08-19,ADAM,NASDAQ,True,,10.18,81.3
2026-08-19,ADPT,NASDAQ,True,,25.49,89.7
2026-08-19,AGEN,NASDAQ,True,,8.26,95.9
2026-08-19,AGM,NYSE,True,,226.93,70.7
2026-08-19,AIR,NYSE,True,,139.17,81.6
2026-08-19,ALKS,NASDAQ,True,,50.18,87.5
2026-08-19,ALNT,NASDAQ,True,,101.81,91.0
2026-08-19,ALRS,NASDAQ,True,,32.68,79.5
2026-08-19,AMAL,NASDAQ,True,,49.05,81.0
2026-08-19,AMCX,NASDAQ,True,,12.12,83.0
2026-08-19,AMLX,NASDAQ,True,,38.6,98.6
2026-08-19,AMN,NYSE,True,,35.32,94.4
2026-08-19,AMRX,NASDAQ,True,,18.11,81.2
2026-08-19,AMTB,NYSE,True,,28.52,77.4
2026-08-19,ANAB,NASDAQ,True,,59.26,97.5
2026-08-19,ANET,NYSE,True,,186.45,74.1
2026-08-19,ANRO,NYSE,True,,34.89,99.5
2026-08-19,APA,NASDAQ,True,,43.45,90.3
2026-08-19,APGE,NASDAQ,True,,134.71,96.7
2026-08-19,APPS,NASDAQ,True,,11.23,97.7
2026-08-19,ARMK,NYSE,True,,59.78,83.0
2026-08-19,ARTV,NASDAQ,True,,11.7,98.4
2026-08-19,ARWR,NASDAQ,True,,89.41,96.4
2026-08-19,ASC,NYSE,True,,18.39,81.5
2026-08-19,ATAI,NASDAQ,True,,7.36,91.4
2026-08-19,ATI,NYSE,True,,215.99,94.1
2026-08-19,ATKR,NYSE,True,,93.43,81.3
2026-08-19,ATRO,NASDAQ,True,,81.67,91.9
2026-08-19,AVR,NASDAQ,True,,9.83,95.1
2026-08-19,AXGN,NASDAQ,True,,48.93,93.9
2026-08-19,AYA,NASDAQ,True,,27.25,95.5
2026-08-19,BBVA,NYSE,True,,28.53,74.5
2026-08-19,BCRX,NASDAQ,True,,10.07,73.5
2026-08-19,BEN,NYSE,True,,33.98,75.5
2026-08-19,BFH,NYSE,True,,108.51,86.6
2026-08-19,BFLY,NYSE,True,,9.17,99.4
2026-08-19,BJRI,NASDAQ,True,,64.74,87.8
2026-08-19,BLMN,NASDAQ,True,,10.61,85.7
2026-08-19,BLZE,NASDAQ,True,,16.88,98.6
2026-08-19,BMY,NYSE,True,,67.61,70.3
2026-08-19,BNY,NYSE,True,,159.76,79.3
2026-08-19,BPOP,NASDAQ,True,,170.57,72.0
2026-08-19,BRKR,NASDAQ,True,,58.65,82.9
2026-08-19,BSTZ,NYSE,True,,30.56,80.7
2026-08-19,BTX,NYSE,True,,8.88,77.2
2026-08-19,BVS,NASDAQ,True,,14.68,91.6
2026-08-19,BWLP,NYSE,True,,23.32,87.4
2026-08-19,CAC,NASDAQ,True,,56.65,72.2
2026-08-19,CADL,NASDAQ,True,,13.5,97.0
2026-08-19,CAKE,NASDAQ,True,,105.82,91.7
2026-08-19,CBL,NYSE,True,,57.0,89.8
2026-08-19,CBRL,NASDAQ,True,,56.07,85.5
2026-08-19,CCSI,NASDAQ,True,,38.12,79.2
2026-08-19,CDNA,NASDAQ,True,,46.51,97.9
2026-08-19,CF,NYSE,True,,119.02,72.7
2026-08-19,CGEM,NASDAQ,True,,22.52,96.4
2026-08-19,CGON,NASDAQ,True,,80.68,94.7
2026-08-19,CHEF,NASDAQ,True,,107.36,87.7
2026-08-19,CHRD,NASDAQ,True,,147.83,83.3
2026-08-19,CHRN,NASDAQ,True,,23.7,99.4
2026-08-19,CLBK,NASDAQ,True,,11.69,84.5
2026-08-19,CLDT,NYSE,True,,13.27,92.3
2026-08-19,CLDX,NASDAQ,True,,41.7,89.3
2026-08-19,CLH,NYSE,True,,325.22,70.1
2026-08-19,CLMT,NASDAQ,True,,49.19,96.8
2026-08-19,CLYM,NASDAQ,True,,17.34,99.7
2026-08-19,CM,NYSE,True,,117.84,74.6
2026-08-19,CMBT,NYSE,True,,17.86,89.6
2026-08-19,CMPS,NASDAQ,True,,14.01,96.3
2026-08-19,CNK,NYSE,True,,37.32,76.2
2026-08-19,CNQ,NYSE,True,,49.5,77.5
2026-08-19,CODI,NYSE,True,,11.59,89.7
2026-08-19,CON,NYSE,True,,34.77,84.2
2026-08-19,CRL,NYSE,True,,290.0,90.9
2026-08-19,CRNX,NASDAQ,True,,84.69,95.2
2026-08-19,CRSR,NASDAQ,True,,11.35,91.1
2026-08-19,CRWD,NASDAQ,True,,201.63,91.1
2026-08-19,CSX,NASDAQ,True,,50.68,72.5
2026-08-19,CTBI,NASDAQ,True,,76.11,70.2
2026-08-19,CTNM,NASDAQ,True,,16.02,80.1
2026-08-19,CTRN,NASDAQ,True,,70.91,90.1
2026-08-19,CVE,NYSE,True,,32.48,89.4
2026-08-19,CVEO,NYSE,True,,33.94,74.2
2026-08-19,CXW,NYSE,True,,31.99,88.9
2026-08-19,CYRX,NASDAQ,True,,16.31,92.1
2026-08-19,DAC,NYSE,True,,147.6,81.9
2026-08-19,DAR,NYSE,True,,66.94,87.9
2026-08-19,DCO,NYSE,True,,200.16,92.5
2026-08-19,DCTH,NASDAQ,True,,17.15,90.5
2026-08-19,DELL,NYSE,True,,437.55,98.9
2026-08-19,DFTX,NASDAQ,True,,45.82,98.9
2026-08-19,DGII,NASDAQ,True,,76.09,91.3
2026-08-19,DHT,NYSE,True,,19.99,85.9
2026-08-19,DINO,NYSE,True,,94.62,92.7
2026-08-19,DJCO,NASDAQ,True,,598.15,72.8
2026-08-19,DK,NYSE,True,,66.33,95.0
2026-08-19,DMRA,NASDAQ,True,,32.44,98.4
2026-08-19,DNLI,NASDAQ,True,,25.69,80.6
2026-08-19,DNTH,NASDAQ,True,,113.7,98.5
2026-08-19,DRH,NASDAQ,True,,12.72,79.0
2026-08-19,DRTS,NASDAQ,True,,14.47,98.1
2026-08-19,DSGN,NASDAQ,True,,15.94,94.8
2026-08-19,DXPE,NASDAQ,True,,191.49,84.5
2026-08-19,E,NYSE,True,,55.97,79.2
2026-08-19,EAT,NYSE,True,,233.46,86.6
2026-08-19,ECO,NYSE,True,,64.24,94.8
2026-08-19,ECPG,NASDAQ,True,,101.26,93.8
2026-08-19,ELVN,NASDAQ,True,,59.39,97.6
2026-08-19,ENVA,NYSE,True,,254.38,93.1
2026-08-19,EPC,NYSE,True,,28.74,75.9
2026-08-19,EQNR,NYSE,True,,42.03,87.6
2026-08-19,ERAS,NASDAQ,True,,18.07,99.7
2026-08-19,ETON,NASDAQ,True,,61.48,98.9
2026-08-19,ETSY,NYSE,True,,80.46,83.8
2026-08-19,EWTX,NASDAQ,True,,46.44,95.2
2026-08-19,EXPD,NYSE,True,,186.44,74.0
2026-08-19,FA,NASDAQ,True,,21.14,90.8
2026-08-19,FANG,NASDAQ,True,,208.55,73.3
2026-08-19,FBP,NYSE,True,,28.46,73.0
2026-08-19,FBRX,NASDAQ,True,,76.9,99.5
2026-08-19,FCX,NYSE,True,,69.09,77.5
2026-08-19,FDMT,NASDAQ,True,,16.76,91.8
2026-08-19,FDX,NYSE,True,,328.38,75.4
2026-08-19,FET,NYSE,True,,81.42,96.5
2026-08-19,FIRY,NYSE,True,,9.69,94.5
2026-08-19,FISI,NASDAQ,True,,40.91,75.9
2026-08-19,FIVN,NASDAQ,True,,32.74,88.3
2026-08-19,FLNG,NYSE,True,,32.48,71.9
2026-08-19,FLYW,NASDAQ,True,,18.83,85.5
2026-08-19,FNKO,NASDAQ,True,,5.97,88.1
2026-08-19,FRO,NYSE,True,,44.45,91.2
2026-08-19,FROG,NASDAQ,True,,91.21,91.4
2026-08-19,FTDR,NASDAQ,True,,82.28,80.3
2026-08-19,FTH,NASDAQ,True,,33.11,99.0
2026-08-19,FTI,NYSE,True,,77.02,86.2
2026-08-19,FTRE,NASDAQ,True,,18.14,93.0
2026-08-19,GEF-B,NYSE,True,,111.46,82.2
2026-08-19,GEO,NYSE,True,,30.68,92.6
2026-08-19,GH,NASDAQ,True,,163.34,92.2
2026-08-19,GHRS,NASDAQ,True,,29.8,94.6
2026-08-19,GKOS,NYSE,True,,189.55,92.8
2026-08-19,GNK,NYSE,True,,26.2,80.4
2026-08-19,GPRE,NASDAQ,True,,16.03,81.7
2026-08-19,GRMN,NYSE,True,,295.67,72.1
2026-08-19,GSAT,NASDAQ,True,,82.46,90.9
2026-08-19,HAFN,NYSE,True,,7.91,76.9
2026-08-19,HALO,NASDAQ,True,,107.62,82.2
2026-08-19,HBM,NYSE,True,,27.47,86.3
2026-08-19,HBT,NASDAQ,True,,35.42,74.2
2026-08-19,HELE,NASDAQ,True,,28.41,80.0
2026-08-19,HG,NYSE,True,,34.4,71.5
2026-08-19,HLX,NYSE,True,,10.43,79.6
2026-08-19,HNGE,NYSE,True,,88.46,94.0
2026-08-19,HNST,NASDAQ,True,,5.02,93.3
2026-08-19,HP,NYSE,True,,43.76,88.0
2026-08-19,HPE,NYSE,True,,53.13,97.1
2026-08-19,HQH,NYSE,True,,24.66,78.9
2026-08-19,HSBC,NYSE,True,,102.3,76.1
2026-08-19,HWM,NYSE,True,,283.48,71.2
2026-08-19,HZO,NYSE,True,,52.22,93.4
2026-08-19,IBTA,NYSE,True,,37.9,88.9
2026-08-19,ICUI,NASDAQ,True,,187.26,72.6
2026-08-19,IESC,NASDAQ,True,,697.38,88.7
2026-08-19,ILMN,NASDAQ,True,,205.0,90.5
2026-08-19,IMAX,NYSE,True,,53.71,86.3
2026-08-19,IMMX,NASDAQ,True,,13.19,98.2
2026-08-19,IMNM,NASDAQ,True,,29.825,91.3
2026-08-19,IMVT,NASDAQ,True,,44.96,94.8
2026-08-19,ING,NYSE,True,,34.69,72.1
2026-08-19,INSW,NYSE,True,,99.71,94.3
2026-08-19,INVX,NYSE,True,,29.42,74.7
2026-08-19,IOVA,NASDAQ,True,,7.99,98.1
2026-08-19,IRDM,NASDAQ,True,,48.71,96.3
2026-08-19,ITGR,NYSE,True,,125.3,80.8
2026-08-19,IVZ,NYSE,True,,32.21,73.9
2026-08-19,JAZZ,NASDAQ,True,,252.16,89.2
2026-08-19,JBIO,NASDAQ,True,,22.55,95.1
2026-08-19,KARO,NASDAQ,True,,61.39,74.0
2026-08-19,KELYA,NASDAQ,True,,16.53,87.8
2026-08-19,KFRC,NYSE,True,,58.68,94.4
2026-08-19,KMX,NYSE,True,,58.95,70.9
2026-08-19,KNSA,NASDAQ,True,,80.8,93.7
2026-08-19,KNTK,NYSE,True,,54.71,81.3
2026-08-19,KOD,NASDAQ,True,,40.07,96.5
2026-08-19,KRNY,NASDAQ,True,,9.63,78.2
2026-08-19,KRT,NASDAQ,True,,48.17,94.5
2026-08-19,KSPI,NASDAQ,True,,101.48,74.8
2026-08-19,KYMR,NASDAQ,True,,127.31,93.8
2026-08-19,LB,NYSE,True,,82.2,71.4
2026-08-19,LFST,NASDAQ,True,,12.83,94.1
2026-08-19,LILA,NASDAQ,True,,8.34,84.1
2026-08-19,LILAK,NASDAQ,True,,8.28,83.0
2026-08-19,LIND,NASDAQ,True,,31.82,94.2
2026-08-19,LITE,NASDAQ,True,,827.6,98.5
2026-08-19,LIVN,NASDAQ,True,,80.84,73.1
2026-08-19,LLY,NYSE,True,,1280.34,77.4
2026-08-19,LPG,NYSE,True,,49.63,89.1
2026-08-19,LQDT,NASDAQ,True,,43.58,85.0
2026-08-19,LTH,NYSE,True,,44.65,85.6
2026-08-19,LXP,NYSE,True,,60.83,76.5
2026-08-19,MAN,NYSE,True,,59.42,93.2
2026-08-19,MATX,NYSE,True,,218.26,88.2
2026-08-19,MBIN,NASDAQ,True,,53.5,77.7
2026-08-19,MBX,NASDAQ,True,,68.4,97.8
2026-08-19,MCS,NYSE,True,,30.35,92.9
2026-08-19,MGA,NYSE,True,,71.01,71.0
2026-08-19,MGTX,NASDAQ,True,,14.97,92.4
2026-08-19,MITK,NASDAQ,True,,18.88,88.4
2026-08-19,MLAB,NASDAQ,True,,119.72,81.4
2026-08-19,MOG-A,NYSE,True,,410.94,88.0
2026-08-19,MPC,NYSE,True,,360.75,92.7
2026-08-19,MRK,NYSE,True,,152.2,82.9
2026-08-19,MRNA,NASDAQ,True,,174.38,99.6
2026-08-19,MRVI,NASDAQ,True,,7.22,97.1
2026-08-19,MRVL,NASDAQ,True,,237.27,98.0
2026-08-19,MRX,NASDAQ,True,,70.19,91.7
2026-08-19,MSBI,NASDAQ,True,,32.31,89.3
2026-08-19,MSGE,NYSE,True,,82.43,87.2
2026-08-19,MSGS,NYSE,True,,402.9,87.4
2026-08-19,MT,NYSE,True,,74.59,85.8
2026-08-19,MYE,NYSE,True,,33.33,90.0
2026-08-19,NAT,NYSE,True,,7.02,93.2
2026-08-19,NBIS,NASDAQ,True,,223.9,97.4
2026-08-19,NBR,NYSE,True,,91.76,90.8
2026-08-19,NEOG,NASDAQ,True,,12.15,84.4
2026-08-19,NESR,NASDAQ,True,,33.545,97.2
2026-08-19,NET,NYSE,True,,291.88,80.6
2026-08-19,NEXA,NYSE,True,,14.17,93.0
2026-08-19,NGNE,NASDAQ,True,,39.43,93.5
2026-08-19,NKTR,NASDAQ,True,,76.08,83.7
2026-08-19,NRIX,NASDAQ,True,,27.79,95.0
2026-08-19,NSIT,NASDAQ,True,,147.26,84.8
2026-08-19,NTAP,NASDAQ,True,,194.48,91.8
2026-08-19,NTRA,NASDAQ,True,,325.07,87.9
2026-08-19,NTRS,NASDAQ,True,,185.4,75.4
2026-08-19,NUE,NYSE,True,,248.74,83.5
2026-08-19,NVCR,NASDAQ,True,,18.2,85.9
2026-08-19,NVCT,NASDAQ,True,,23.33,98.3
2026-08-19,NVEC,NASDAQ,True,,111.28,90.4
2026-08-19,NWL,NASDAQ,True,,6.16,78.8
2026-08-19,OBK,NYSE,True,,52.51,73.6
2026-08-19,OGN,NYSE,True,,13.73,90.2
2026-08-19,OII,NYSE,True,,52.69,92.6
2026-08-19,OKTA,NASDAQ,True,,141.21,87.5
2026-08-19,OOMA,NYSE,True,,20.2,90.1
2026-08-19,OPY,NYSE,True,,113.84,81.9
2026-08-19,ORKA,NASDAQ,True,,109.69,99.5
2026-08-19,OSCR,NYSE,True,,32.3,95.8
2026-08-19,OSPN,NASDAQ,True,,15.77,72.7
2026-08-19,OVV,NYSE,True,,65.56,83.4
2026-08-19,OXY,NYSE,True,,60.09,73.3
2026-08-19,PACS,NYSE,True,,44.26,97.4
2026-08-19,PAG,NYSE,True,,217.86,70.9
2026-08-19,PAGP,NASDAQ,True,,26.095,75.8
2026-08-19,PANW,NASDAQ,True,,359.76,95.0
2026-08-19,PARR,NYSE,True,,77.13,93.7
2026-08-19,PAYS,NASDAQ,True,,13.8,98.8
2026-08-19,PBF,NYSE,True,,73.91,96.8
2026-08-19,PCVX,NASDAQ,True,,63.3,75.6
2026-08-19,PDEX,NASDAQ,True,,66.94,89.0
2026-08-19,PESI,NASDAQ,True,,17.3,71.7
2026-08-19,PFG,NASDAQ,True,,111.64,70.8
2026-08-19,PGEN,NASDAQ,True,,7.16,88.8
2026-08-19,PHVS,NASDAQ,True,,36.27,80.3
2026-08-19,PK,NYSE,True,,15.83,82.8
2026-08-19,PKE,NYSE,True,,35.53,88.9
2026-08-19,PLPC,NASDAQ,True,,434.74,93.9
2026-08-19,PLSE,NASDAQ,True,,47.02,97.1
2026-08-19,PNTG,NASDAQ,True,,39.14,76.7
2026-08-19,PR,NYSE,True,,23.02,84.9
2026-08-19,PRAA,NASDAQ,True,,19.44,79.5
2026-08-19,PRLB,NYSE,True,,82.08,80.1
2026-08-19,PSNL,NASDAQ,True,,15.81,96.1
2026-08-19,PSX,NYSE,True,,242.29,89.3
2026-08-19,PTEN,NASDAQ,True,,12.06,91.6
2026-08-19,PTGX,NASDAQ,True,,154.94,94.9
2026-08-19,PUBM,NASDAQ,True,,16.78,96.0
2026-08-19,PVLA,NASDAQ,True,,149.96,95.4
2026-08-19,PWR,NYSE,True,,677.41,81.4
2026-08-19,QMCO,NASDAQ,True,,21.79,98.8
2026-08-19,RAPP,NASDAQ,True,,49.07,95.3
2026-08-19,RBCAA,NASDAQ,True,,93.4,72.9
2026-08-19,RCUS,NYSE,True,,30.35,92.6
2026-08-19,RELY,NASDAQ,True,,25.06,89.4
2026-08-19,RHI,NYSE,True,,43.54,87.1
2026-08-19,RHP,NYSE,True,,128.34,73.5
2026-08-19,RIO,NYSE,True,,100.44,72.8
2026-08-19,RLAY,NASDAQ,True,,20.74,98.7
2026-08-19,RNG,NYSE,True,,65.94,96.1
2026-08-19,ROIV,NASDAQ,True,,37.4,92.8
2026-08-19,ROKU,NASDAQ,True,,156.8,88.1
2026-08-19,ROST,NASDAQ,True,,234.69,74.1
2026-08-19,RPRX,NASDAQ,True,,61.73,83.2
2026-08-19,RRBI,NASDAQ,True,,99.91,71.4
2026-08-19,RUSHB,NASDAQ,True,,78.56,73.1
2026-08-19,RVMD,NASDAQ,True,,214.66,98.7
2026-08-19,RY,NYSE,True,,207.62,74.0
2026-08-19,S,NYSE,True,,21.32,78.8
2026-08-19,SAFT,NASDAQ,True,,103.56,76.5
2026-08-19,SAIC,NASDAQ,True,,128.71,77.1
2026-08-19,SB,NYSE,True,,8.17,86.1
2026-08-19,SBLK,NASDAQ,True,,30.17,80.3
2026-08-19,SENEA,NASDAQ,True,,192.22,86.5
2026-08-19,SEPN,NASDAQ,True,,43.93,95.7
2026-08-19,SFL,NYSE,True,,12.65,76.6
2026-08-19,SKM,NYSE,True,,38.74,82.6
2026-08-19,SLAB,NASDAQ,True,,218.92,76.7
2026-08-19,SLDB,NASDAQ,True,,9.74,91.5
2026-08-19,SLDE,NASDAQ,True,,22.48,75.7
2026-08-19,SLN,NASDAQ,True,,13.61,97.3
2026-08-19,SLS,NASDAQ,True,,13.85,99.8
2026-08-19,SM,NYSE,True,,36.14,86.9
2026-08-19,SMBK,NYSE,True,,50.65,72.0
2026-08-19,SN,NYSE,True,,181.24,84.4
2026-08-19,SOBO,NYSE,True,,37.61,74.9
2026-08-19,SPB,NYSE,True,,88.79,75.3
2026-08-19,SPHR,NYSE,True,,159.79,95.5
2026-08-19,SRCE,NASDAQ,True,,85.71,71.1
2026-08-19,SRRK,NASDAQ,True,,56.51,83.2
2026-08-19,SRTA,NASDAQ,True,,5.89,70.1
